name,city,stalp,zip,repdte,bkclass,asset,liab,netinc,total small loans,number small loans,total micro loans,number micro loans
Alliance Bank & Trust Company,Gastonia,NC,28054,6/30/16,NM,147574,137561,225,41176,154,4272,137
Aquesta Bank,Cornelius,NC,28031,6/30/16,NM,333421,309587,1077,54511,193,5516,224
Asheville Savings Bank S.S.B.,Asheville,NC,28801,6/30/16,SB,804588,715595,2993,83958,305,6772,490
Bank of America National Association,Charlotte,NC,28202,6/30/16,N,1657878000,1447814000,8113000,16419000,56272,17783000,2896806
Bank of North Carolina,Thomasville,NC,27360,6/30/16,NM,6476625,5668246,31911,717496,2806,39510,1633
Bank of Oak Ridge,Oak Ridge,NC,27310,6/30/16,NM,367739,328521,1377,82036,293,8844,339
Belmont Federal Savings and Loan Association,Belmont,NC,28012,6/30/16,SA,95087,77421,202,2062,9,273,5
Black Mountain Savings Bank SSB,Black Mountain,NC,28711,6/30/16,SB,37554,32751,78,691,4,88,1
BlueHarbor Bank,Mooresville,NC,28117,6/30/16,NM,162082,138829,563,42381,152,2782,109
Branch Banking and Trust Company,Winston Salem,NC,27101,6/30/16,NM,217159204,188838129,1123991,9459321,44581,2351677,336647
Capital Bank Corporation,Raleigh,NC,27601,6/30/16,NM,7631460,6682470,31102,406723,2250,22644,1231
Carolina Bank,Greensboro,NC,27401,6/30/16,NM,706638,635283,3002,91428,426,6339,296
Carolina Premier Bank,Charlotte,NC,28277,6/30/16,NM,240067,216193,469,37812,121,2170,53
Carolina Trust Bank,Lincolnton,NC,28092,6/30/16,NM,373955,342187,874,86317,402,12934,445
Cedar Hill National Bank,Charlotte,NC,28273,6/30/16,N,11420,2301,227,0,0,0,0
Coastal Bank & Trust,Jacksonville,NC,28546,6/30/16,SM,94728,86932,141,30406,107,2370,80
Communityone Bank National Association,Asheboro,NC,27203,6/30/16,N,2354132,2010447,9050,178806,780,15758,558
Cornerstone Bank,Wilson,NC,27896,6/30/16,NM,108514,96244,2273,20271,81,2499,109
Entegra Bank,Franklin,NC,28734,6/30/16,SB,1192356,1043955,2804,124351,501,5991,482
Farmers & Merchants Bank,Granite Quarry,NC,28072,6/30/16,NM,564709,503321,1902,62699,262,5062,236
First Bank,Southern Pines,NC,28387,6/30/16,SM,3464906,3061152,15440,550323,2360,72326,2649
First Capital Bank,Laurinburg,NC,28352,6/30/16,NM,52718,44746,166,16262,65,2106,89
First Carolina Bank,Rocky Mount,NC,27804,6/30/16,NM,168991,147936,186,27165,102,2081,86
First Federal Bank,Dunn,NC,28334,6/30/16,SA,170413,150214,167,12952,54,1582,45
First Federal Savings Bank of Lincolnton,Lincolnton,NC,28092,6/30/16,SA,362514,310024,1519,18346,79,2775,90
First Savings and Loan Association,Mebane,NC,27302,6/30/16,SA,51180,39317,68,1083,7,88,3
First South Bank,Washington,NC,27889,6/30/16,NM,960344,863460,3320,150314,547,9104,319
First-Citizens Bank & Trust Company,Raleigh,NC,27601,6/30/16,NM,32054284,29080650,125030,5120150,32288,556872,184582
Four Oaks Bank & Trust Company,Four Oaks,NC,27524,6/30/16,SM,711569,626464,2087,99527,450,14652,524
Great State Bank,Wilkesboro,NC,28697,6/30/16,SM,110397,99180,321,34108,119,3223,132
Hertford Savings Bank SSB,Hertford,NC,27944,6/30/16,SB,12399,10393,9,472,4,100,3
High Point Bank and Trust Company,High Point,NC,27261,6/30/16,NM,778715,676221,2672,113072,461,7503,405
HomeTrust Bank,Asheville,NC,28801,6/30/16,SM,2700127,2373479,6391,236408,707,24912,627
Jackson Savings Bank SSB,Sylva,NC,28779,6/30/16,SB,33956,27461,39,3632,21,693,13
KS Bank Inc.,Smithfield,NC,27577,6/30/16,SB,352211,317804,1074,58787,237,6309,256
LifeStore Bank,West Jefferson,NC,28694,6/30/16,SA,263873,234933,897,23895,113,3252,129
Live Oak Banking Company,Wilmington,NC,28403,6/30/16,NM,1327662,1196292,8156,190941,2084,2518,168
Lumbee Guaranty Bank,Pembroke,NC,28372,6/30/16,NM,323992,289268,1087,52364,212,7738,315
Mechanics & Farmers Bank,Durham,NC,27702,6/30/16,NM,296426,260610,86,46103,139,2465,86
Morganton Savings Bank S.S.B.,Morganton,NC,28655,6/30/16,SB,76704,52682,68,7231,33,929,26
Nantahala Bank & Trust Company,Franklin,NC,28734,6/30/16,NM,147946,139671,41,26649,100,1694,60
New Republic Savings Bank,Roanoke Rapids,NC,27870,6/30/16,SA,62440,55793,208,7338,39,753,29
NewDominion Bank,Charlotte,NC,28204,6/30/16,NM,324712,292186,332,50170,170,1338,52
North State Bank,Raleigh,NC,27609,6/30/16,SM,782199,715577,5217,127758,451,10767,306
Paragon Commercial Bank,Raleigh,NC,27612,6/30/16,NM,1454471,1307604,6717,162768,501,13529,351
Park Sterling Bank,Charlotte,NC,28204,6/30/16,NM,3166050,2763375,10643,339396,1480,30082,1478
Peoples Bank,Newton,NC,28658,6/30/16,NM,1068195,942491,5649,148224,701,15430,994
Piedmont Federal Savings Bank,Winston Salem,NC,27103,6/30/16,SA,896025,670825,1195,784,2,21,1
Providence Bank,Rocky Mount,NC,27804,6/30/16,NM,263322,236033,1087,43237,167,4176,143
Roanoke Rapids Savings Bank SSB,Roanoke Rapids,NC,27870,6/30/16,SB,50906,41972,7,1008,4,231,6
Roanoke Valley Savings Bank SSB,Roanoke Rapids,NC,27870,6/30/16,SB,37337,27634,83,0,0,79,3
Roxboro Savings Bank SSB,Roxboro,NC,27573,6/30/16,SB,220575,179081,1456,22054,95,3242,95
Select Bank & Trust Company,Dunn,NC,28335,6/30/16,NM,825984,716979,3768,142872,561,9166,352
Sound Banking Company,Morehead City,NC,28557,6/30/16,NM,184497,168120,528,43115,156,3991,160
Southern Bank and Trust Company,Mount Olive,NC,28365,6/30/16,NM,2403862,2159689,6275,466105,1993,66449,2587
Surrey Bank & Trust,Mount Airy,NC,27030,6/30/16,NM,262596,222712,1982,66291,343,16878,676
Tarboro Savings Bank SSB,Tarboro,NC,27886,6/30/16,SB,44118,37724,139,0,0,0,0
Taylorsville Savings Bank SSB,Taylorsville,NC,28681,6/30/16,SB,100269,90776,483,14669,93,3199,140
The Fidelity Bank,Fuquay Varina,NC,27526,6/30/16,NM,1778264,1595090,4179,322973,1386,23999,1195
The Little Bank Incorporated,Kinston,NC,28501,6/30/16,SB,361953,325476,1556,74166,308,7995,318
Union Bank & Trust Company,Oxford,NC,27565,6/30/16,NM,289347,259064,841,61809,281,11386,482
Uwharrie Bank,Albemarle,NC,28001,6/30/16,SM,523474,470875,1668,72196,344,11057,380
Wake Forest Federal Savings and Loan Association,Wake Forest,NC,27587,6/30/16,SA,104427,81699,444,4602,16,386,7
Yadkin Bank,Statesville,NC,28677,6/30/16,NM,7452883,6360225,27470,1023690,4743,129152,6142